Company,Period,Revenue,Gross Profit,EBITDA,Operating Income,Net Income,EPS,Total Assets,Total Debt,Equity
Tata Motors (via TMPV.BO),2025-03,4368210000000.0,1628500000000.0,621190000000.0,40670000000.0,278300000000.0,78.8,3786420000000.0,740040000000.0,1161440000000.0
Tata Motors (via TMPV.BO),2024-03,4312120000000.0,1563590000000.0,632930000000.0,83770000000.0,313990000000.0,81.95,3706640000000.0,1098120000000.0,849180000000.0
Tata Motors (via TMPV.BO),2023-03,3428745900000.0,1147953200000.0,384797700000.0,-71374600000.0,24142900000.0,6.29,3360813800000.0,1366134500000.0,453217900000.0
Tata Motors (via TMPV.BO),2022-03,2752352300000.0,929033200000.0,271441400000.0,-60379600000.0,-114414700000.0,-29.88,3306199300000.0,1476990300000.0,445612400000.0
Tata Motors (via TMPV.BO),2021-03,,,,,,,,,
Maruti Suzuki,2025-03,1474686000000.0,338377000000.0,254224000000.0,144981000000.0,145002000000.0,461.2,1319718000000.0,870000000.0,962399000000.0
Maruti Suzuki,2024-03,1364838000000.0,308725000000.0,228739000000.0,134056000000.0,134882000000.0,429.01,1153508000000.0,1186000000.0,856360000000.0
Maruti Suzuki,2023-03,1137648000000.0,232833000000.0,155365000000.0,82630000000.0,82637000000.0,262.84,1003854000000.0,12476000000.0,746002000000.0
Maruti Suzuki,2022-03,851688000000.0,157375000000.0,76128000000.0,29823000000.0,38795000000.0,128.43,746555000000.0,4255000000.0,553335000000.0
Maruti Suzuki,2021-03,,,,,,,,28000000.0,
Mahindra & Mahindra,2025-03,1556452600000.0,592671900000.0,334915900000.0,245772500000.0,129291000000.0,115.91,2775862700000.0,1249493100000.0,770388600000.0
Mahindra & Mahindra,2024-03,1358030300000.0,516010800000.0,278480400000.0,196098400000.0,112686400000.0,101.14,2363007300000.0,1066255200000.0,661905500000.0
Mahindra & Mahindra,2023-03,1190403800000.0,443947700000.0,240884200000.0,159886100000.0,102815000000.0,92.41,2058917700000.0,922468500000.0,563657900000.0
Mahindra & Mahindra,2022-03,884404400000.0,363063000000.0,177790300000.0,111801900000.0,65773200000.0,59.2,1741128000000.0,776052100000.0,471226400000.0
Mahindra & Mahindra,2021-03,,,,,,,,,
Ashok Leyland,2025-03,483417600000.0,185602100000.0,96131900000.0,87730500000.0,31068000000.0,5.29,817145300000.0,499621100000.0,122320900000.0
Ashok Leyland,2024-03,455172600000.0,161705000000.0,80156100000.0,75011300000.0,24835200000.0,4.23,675956000000.0,408021800000.0,90046200000.0
Ashok Leyland,2023-03,414883000000.0,125527500000.0,52586500000.0,48394600000.0,12387100000.0,2.11,547460100000.0,311609300000.0,85517600000.0
Ashok Leyland,2022-03,261102600000.0,84234400000.0,25354200000.0,26467000000.0,-3586100000.0,-0.61,436007800000.0,241450200000.0,73038900000.0
Ashok Leyland,2021-03,,,,,,,,,
Bajaj Auto,2025-03,492669500000.0,134937500000.0,110266600000.0,100580500000.0,73247300000.0,262.4,541986100000.0,92365200000.0,351887400000.0
Bajaj Auto,2024-03,437820800000.0,113941300000.0,104651700000.0,82713000000.0,77082400000.0,272.7,393656800000.0,17859000000.0,289624100000.0
Bajaj Auto,2023-03,353915200000.0,87337700000.0,81673400000.0,60625400000.0,60602100000.0,212.5,351364500000.0,0.0,293615400000.0
Bajaj Auto,2022-03,321359800000.0,71448200000.0,79301000000.0,51783700000.0,61658700000.0,213.2,351112100000.0,,298596500000.0
